,question,answer
216,太阳系内哪个天体对经过其边沿的光线弯曲造成的引力偏折效应最大？,太阳系内木星对经过其边沿的光线弯曲造成的引力偏折效应最大。
217,表5.5.1.1中，太阳造成的光线引力弯曲效应是多少微弧秒？,表5.5.1.1中未直接给出太阳造成的光线引力弯曲效应的微弧秒数值，但给出了太阳造成的光线引力弯曲效应为1.75 × 10^6微弧秒（或180°），以及当引力弯曲效应达到10微角秒时的相关信息。
218,在进行天体测量时，为什么需要假设太阳系是孤立的？,在进行天体测量时，需要假设太阳系是孤立的，这意味着光线在目标源和太阳系边缘之间的传播不受其它引力源的干扰，其它如引力透镜等效应忽略不计。
219,ψ¦a_(10µas)是指什么？,ψ¦a_(10µas)是指引力弯曲效应达到10微角秒时行星与观测目标之间的最大角距离。
220,首次给出哪类行星形成强烈证据的研究？,首次给出此类行星是如何形成的强烈证据的研究是关于短周期双星系统中行星形成的研究。
221,我们计划对哪些双星系统进行行星成像搜寻？,我们计划对太阳周围25pc之内的29个短周期双星系统进行系统的成像搜寻行星的工作，这些双星系统的星等在Mv=3-6等之间。
222,在发现新行星后，多久进行一次新观测？,在发现新的行星之后，会每隔2年左右新观测一次，从而得到行星的轨道运行方向，以便和双星的轨道运行方向做比较，从而研究此类行星的起源。
223,CPIC预期可以发现什么奇异的多星系统？,CPIC预期可以发现一些奇异的多星系统，比如包含巨行星和褐矮星的准四星系统。
224,目前被主流接受的行星形成模型是什么？,目前核吸积模型更为被主流接受。
225,在远轨道外观测到的原行星系统对哪个模型提出了挑战？,通过成像技术探测发现的长周期巨行星系统，以及首次在远轨道50AU以外观测到形成中的原行星系统，对核吸积模型提出了挑战。
226,星冕仪模块将成像探测哪些行星？,星冕仪模块将成像探测位于主恒星5AU以内、有效温度不超过1000K的成熟的系外行星。
227,褐矮星的质量范围是多少？,褐矮星的质量介于13到80个木星质量之间。
228,视向速度法探测发现的行星主要位于哪个距离内？,视向速度法探测发现的行星90%位于3AU以内。
229,DSHARP项目推测获得了哪个距离附近的行星生成率？,DSHARP项目观测到的原行星盘精细结构获得了形成这类结构的年轻行星的信息，并推测获得了5-10AU附近的质量大于5个木星质量的行星生成率。
230,大质量端的早型星系中，黑洞质量有什么特点？,在大质量端，人们找到了一些黑洞质量显著偏大的早型星系。
231,M-σ关系对黑洞-引力波研究有哪些重要影响？,进一步标定M-σ关系对黑洞-引力波研究有重要的影响。人们可以通过近邻宇宙标定的M-σ关系来统计地估计宇宙中黑洞的分布。M-σ关系的斜率和M-σ关系的內禀弥散的大小对估计黑洞的空间数密度有主导性的影响，尤其是在最大质量黑洞的一端。
232,用最新发表的M-σ关系推算出的质量M>10^10M⊙的黑洞数密度大约是多少？,用最新发表的M-σ关系推算出的质量M>10^10M⊙的黑洞数密度大约是300/Gpc^3；但如果假设M-σ关系的內禀弥散几乎为零，那么同样质量黑洞的数密度则会骤降几千倍。
233,动力学在探测黑洞质量中扮演什么角色？,动力学是探测黑洞质量最可靠的办法。现有的大部分黑洞质量的准确测量都来自恒星动力学。
234,IFS设备如何帮助测量大质量黑洞的质量？,地面大型光学望远镜的IFS设备结合主动光学技术，可将PSF降到～0.3arcsec。近年来，这些设备对近邻数十个巨星椭圆星系中心进行了观测，通过对恒星运动学的合理建模，得到这些大质量黑洞精确的质量测量。
235,中央超大质量黑洞对周围恒星有什么影响？,中央超大质量黑洞在动力学上对周围恒星可有直接的影响，它可以吃掉或者弹出离它足够近的恒星，人们认为它可能是形成巨椭星系中央光学平核的直接原因。
236,IFS数据对研究星系中心黑洞的要求主要体现在哪些方面？,IFS数据对研究星系中心黑洞的要求主要体现在空间分辨率、光谱分辨率和光谱的信噪比S/N三个方面。
237,IFS的光谱分辨率是多少？,IFS的光谱分辨率R=1000-2800，光谱覆盖范围在3500-10000Å。其对应的速度分辨率ΔV(FWHM)= C/R =300-107 km/s，速度弥散分辨能力σintr = 127-45 km/s。
238,IZw18星系是目前已知的什么类型的星系之一？,"IZw18星系是目前已知金属丰度最低的蓝致密星系（Blue Compact Galaxies, 简称BCGs）之一。"
239,使用多功能光学设施IFS观测IZw18有什么优势？,使用多功能光学设施IFS可以帮助我们更好地分解IZw18中的恒星形成区，提高空间分辨率，并估计CSST-IFS对IZw18的观测能力。
240,科学数据处理系统的0级处理流水线被称为什么？,科学数据处理系统的0级处理流水线被称为0级处理流水线。
241,流水线命名规则中的模块标识符SJ6代表什么？,流水线命名规则中的模块标识符SJ6代表多通道成像仪数据处理。
242,工作包命名规则中的'PK'代表什么？,工作包命名规则中的'PK'代表PacKage，简称PK。
243,巡天模块数据处理最终生成哪些数据库？,巡天模块数据处理最终生成测光数据库，无缝光谱数据库和天测数据库。
244,多色成像数据处理包括哪些基本流程？,多色成像数据处理包括偏置改正、暗场改正、平场改正、快门效应改正、宇宙线和坏像元探测等基本流程。
245,位置定标功能需要哪些数据？,位置定标功能需要未定标的图像数据、外部参考星表以及用于计算的天体数据。
246,1级多色成像图像数据如何生成？,完成位置定标后的图像数据，需要经过数据科学可用性标记模块检查合格后，完成数据文件与文件头文件的合并，即生成1级多色成像图像数据。
247,天体测量多色成像数据处理主要做什么？,天体测量多色成像数据处理主要对从探测器获得的0级多色成像数字图像进行修正和定标，在图像中探测天体目标，计算流量和形状等参数测量并进行天体测量，检测图像上的太阳系快速移动天体，生成1级天测科学数据。
248,天体测量中，针对不同密度星场图像采用什么方法处理？,天体测量中，针对低密度星场，中等密度星场以及高密度星场星场图像分别采用不同的目标检测、高精度定心和天体测量方法进行处理。
249,什么条件下会触发天体测量5参数2级天测科学数据的生成？,当同一天区或者相邻天区的单帧图像相对定位数据达到多历元位置数据解算BCRS下天体测量5参数流水线触发标准时，会触发天体测量5参数2级天测科学数据的生成。
250,太阳界面区成像光谱仪卫星的英文缩写是什么？,Interface Region Imaging Spectrograph，缩写：IRIS
251,太阳界面区成像光谱仪卫星是哪个国家的计划？,美国
252,太阳界面区成像光谱仪卫星主要负责观测太阳的哪个部分？,太阳的过渡层，尤其是色球层的物理状态
253,洛克希德·马丁太阳与天文物理实验室在IRIS项目中负责什么？,负责整合该太阳天文台，制造该太阳天文台本体和光谱仪
254,IRIS的主要仪器是什么？,一台高帧率的紫外线成像光谱仪
255,IRIS一幅影像的拍摄耗时多久？,一秒
256,IRIS是在哪一年成功发射的？,2013年6月27日
257,IRIS的科学和工程团队中有哪些参与单位？,洛克希德·马丁太阳与天文物理实验室、洛克希德·马丁遥测与太空探险系统、史密松天体物理台、蒙大拿州立大学、奥斯陆大学理论天文物理研究所、美国国家大气研究中心高山天文台、史丹佛大学、艾姆斯研究中心、戈达德太空飞行中心、美国国家太阳天文台、加州大学柏克莱分校太空科学实验室、普林斯顿大学等离子物理实验室、悉尼大学悉尼天文研究所、荷语天主教鲁汶大学等离子天文物理学实验室、伦敦大学学院穆勒太空科学实验室、拉塞福－阿普顿实验室、欧洲空间局、马克斯·普朗克太阳系研究所、日本国家天文台、哥本哈根大学尼尔斯·波耳研究所等
258,本次IRIS任务中使用的是哪种火箭？,飞马座火箭
259,NASA在2009年6月19日宣布IRIS与哪个项目同时获选？,Gravity and Extreme Magnetism SMEX
260,CSST科学数据处理系统0级数据的文档是由哪些单位编写的？,CSST科学数据处理系统0级数据的文档是由中国科学院国家天文台和中国科学院上海天文台编写的。
261,CSST科学数据处理系统0级数据的文档版本号03.01是在什么日期修改的？,CSST科学数据处理系统0级数据的文档版本号03.01是在2024年3月27日修改的。
262,CSST科学数据处理系统0级数据包括哪些模块的设计？,从文档中找不到答案，但可以推测可能包括主巡天模块（MSC）、多通道成像仪模块（MCI）、积分视场光谱仪模块（IFS）、星冕仪模块（CPIC）和高灵敏度太赫兹模块（HSTDM）等模块的设计。
263,主巡天模块（MSC）的0级数据文件设计和存储规范在哪一节描述？,主巡天模块（MSC）的0级数据文件设计和存储规范在5.2.1节描述。
264,多通道成像仪模块（MCI）的0级数据有哪些设计特点？,从文档中找不到具体的设计特点描述，但多通道成像仪模块（MCI）的0级数据文件设计、命名及存储规范在5.2.2节有描述。
265,积分视场光谱仪模块（IFS）的0级数据接口示意图在哪一节？,积分视场光谱仪模块（IFS）的0级数据接口示意图在5.3.3节。
266,星冕仪模块（CPIC）的0级数据存储文件夹结构示意图编号是多少？,星冕仪模块（CPIC）的0级数据存储文件夹结构示意图编号是图4。
267,高灵敏度太赫兹模块（HSTDM）的0级数据在哪个部分描述？,高灵敏度太赫兹模块（HSTDM）的0级数据在5.2.5节和5.3.5节有描述。
268,导星仪0级图像数据结构包含哪些内容？,导星仪0级图像数据结构包含导星数据需求概述和导星数据格式等内容，具体在6节描述。
269,工程辅助数据需求概述在哪一节描述？,工程辅助数据需求概述在7.1节描述。
